time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items misses miss_rate shq_size AET_ht_size 
7000002 1 normal 800000000 0 800000000 400000000 50 65536 575683812 1.38965 745532 3500000 0 0 0 0 0 0.213009 0.370964 2754468 2754468 0.786991 0 0 
7100002 2 normal 800000000 0 800000000 400000000 50 65536 388102968 2.06131 1693049 3550001 0 0 0 0 0 0.476915 -1 1856952 1856952 0.523085 0 0 
7100002 1 normal 800000000 0 800000000 400000000 50 65536 581977429 1.37462 765419 3550000 0 0 0 0 0 0.215611 -1 2784581 2784581 0.784389 0 0 
7200002 2 normal 800000000 0 800000000 400000000 50 65536 390764165 2.04727 1730316 3600001 0 0 0 0 0 0.480643 -1 1869685 1869685 0.519357 0 0 
7200002 1 normal 800000000 0 800000000 400000000 50 65536 588205420 1.36007 785620 3600000 0 0 0 0 0 0.218228 -1 2814380 2814380 0.781772 0 0 
7300002 2 normal 800000000 0 800000000 400000000 50 65536 393336955 2.03388 1768006 3650001 0 0 0 0 0 0.484385 -1 1881995 1881995 0.515615 0 0 
7300002 1 normal 800000000 0 800000000 400000000 50 65536 594444279 1.34579 805769 3650000 0 0 0 0 0 0.220759 -1 2844231 2844231 0.779241 0 0 
7400002 2 normal 800000000 0 800000000 400000000 50 65536 395915597 2.02063 1805668 3700001 0 0 0 0 0 0.488018 -1 1894333 1894333 0.511982 0 0 
7400002 1 normal 800000000 0 800000000 400000000 50 65536 600600165 1.332 826315 3700000 0 0 0 0 0 0.223328 -1 2873685 2873685 0.776672 0 0 
7500002 2 normal 800000000 0 800000000 400000000 50 65536 398472294 2.00767 1843435 3750001 0 0 0 0 0 0.491583 -1 1906566 1906566 0.508417 0 0 
7500002 1 normal 800000000 0 800000000 400000000 50 65536 606692306 1.31863 847166 3750000 0 0 0 0 0 0.225911 -1 2902834 2902834 0.774089 0 0 
7600002 2 normal 800000000 0 800000000 400000000 50 65536 400947063 1.99528 1881594 3800001 0 0 0 0 0 0.495156 -1 1918407 1918407 0.504844 0 0 
7600002 1 normal 800000000 0 800000000 400000000 50 65536 612798450 1.30549 867950 3800000 0 0 0 0 0 0.228408 -1 2932050 2932050 0.771592 0 0 
7700002 2 normal 800000000 0 800000000 400000000 50 65536 403418697 1.98305 1919768 3850001 0 0 0 0 0 0.498641 -1 1930233 1930233 0.501359 0 0 
7700002 1 normal 800000000 0 800000000 400000000 50 65536 618876797 1.29266 888867 3850000 0 0 0 0 0 0.230875 -1 2961133 2961133 0.769125 0 0 
7800002 2 normal 800000000 0 800000000 400000000 50 65536 405838917 1.97123 1958188 3900001 0 0 0 0 0 0.502099 -1 1941813 1941813 0.497901 0 0 
7800002 1 normal 800000000 0 800000000 400000000 50 65536 624859004 1.28029 910244 3900000 0 0 0 0 0 0.233396 -1 2989756 2989756 0.766604 0 0 
7900002 2 normal 800000000 0 800000000 400000000 50 65536 408222562 1.95972 1996783 3950001 0 0 0 0 0 0.505515 -1 1953218 1953218 0.494485 0 0 
7900002 1 normal 800000000 0 800000000 400000000 50 65536 630851870 1.26813 931570 3950000 0 0 0 0 0 0.235841 -1 3018430 3018430 0.764159 0 0 
8000002 2 normal 800000000 0 800000000 400000000 50 65536 410570468 1.94851 2035549 4000001 0 0 0 0 0 0.508887 0.759116 1964452 1964452 0.491113 0 0 
8000002 1 normal 800000000 0 800000000 400000000 50 65536 636761763 1.25636 953293 4000000 0 0 0 0 0 0.238323 0.415522 3046707 3046707 0.761677 0 0 
8100002 2 normal 800000000 0 800000000 400000000 50 65536 412885979 1.93758 2074470 4050001 0 0 0 0 0 0.512215 -1 1975531 1975531 0.487785 0 0 
8100002 1 normal 800000000 0 800000000 400000000 50 65536 642665386 1.24482 975046 4050000 0 0 0 0 0 0.240752 -1 3074954 3074954 0.759248 0 0 
8200002 2 normal 800000000 0 800000000 400000000 50 65536 415170349 1.92692 2113540 4100001 0 0 0 0 0 0.515497 -1 1986461 1986461 0.484503 0 0 
8200002 1 normal 800000000 0 800000000 400000000 50 65536 648486245 1.23364 997195 4100000 0 0 0 0 0 0.243218 -1 3102805 3102805 0.756782 0 0 
8300002 2 normal 800000000 0 800000000 400000000 50 65536 417416472 1.91655 2152793 4150001 0 0 0 0 0 0.518745 -1 1997208 1997208 0.481255 0 0 
8300002 1 normal 800000000 0 800000000 400000000 50 65536 654306059 1.22267 1019349 4150000 0 0 0 0 0 0.245626 -1 3130651 3130651 0.754374 0 0 
8400002 2 normal 800000000 0 800000000 400000000 50 65536 419643994 1.90638 2192135 4200001 0 0 0 0 0 0.521937 -1 2007866 2007866 0.478063 0 0 
